"id","url1","url2","confidence","recognized","responseTime","detectedUrl1","detectedUrl2"
"1","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777341/wfytjskd64nsl3utorg7.png","http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520786743/1_S.jpg",,0,928,1,1
"2","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777391/ix75mek9ebtpvon7tdak.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777874/rwdxtlkcb2ong5uvukiw.jpg",,0,1508,1,0
"3","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777432/y5yednph0jcn4hnonldd.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777897/ceadvfd0637c2csdmbqq.jpg",0.8017682,1,1261,1,1
"4","http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520785168/4_.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777905/h1g9otjsqnvoolasnxqc.jpg",,0,1366,1,1
"5","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777451/rqnxyzxrq4jgtqbmeljt.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777907/p2zqoymzwwsvaxfmgvmz.jpg",,0,1326,1,1
"6","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777453/htxuguocu00uqblvosgm.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777909/jvwxqfmzk9aomj6ba6d1.jpg",0.648295,1,1329,1,1
"7","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777454/jakzg5i4ymeautw8izfa.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777911/caawlwx5lnmfbmarlcsb.jpg",,0,1386,1,0
"8","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777459/pwagdre28qftcwuxlgy8.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777913/tzxb3lqgjut0khhd894n.jpg",,0,1410,1,1
"9","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777472/apgzhjlwurqix8rjcyp9.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777916/bj2yklbxen1u1zgbuwvn.jpg",0.65318114,1,1316,1,1
"10","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777310/ziubwaojdpg9alzpjqqd.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777828/wjghdb8z2ke6zqrzbkrt.jpg",0.897009,1,1534,1,1
"11","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777315/lgqq9u27hvijlls0rvav.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777830/xuhs7nc3cdfz4gszydhi.jpg",0.6476851,1,1488,1,1
"12","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777323/of0buxtk6fek8ripdsft.jpg","https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777832/vbl8jpdeu9oh2lxcveqr.jpg",,0,1307,1,1
