id,url1,url2,confidence,recognized,responseTime,detectedUrl1,detectedUrl2
10,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777310/ziubwaojdpg9alzpjqqd.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777312/rwoa4sy7qkktigoxuhu8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777314/edbiybfrnkudnicufquq.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777973/mjixytcrnwokg0jyflry.jpg,88,1,10980,1,1
11,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777315/lgqq9u27hvijlls0rvav.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777317/jshj7jav7xz6rnlonqep.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777319/r5cwrcx0tbik0k1qsjn5.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777320/xuczcu12fythm8h2kdig.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777321/zvecuzua7ylvom0aksul.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777974/b0jksrtx27jq4m9flc0e.jpg,,0,12569,1,0
12,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777323/of0buxtk6fek8ripdsft.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777976/dl5wbo9lirjk3incf0mt.jpg,89,1,14695,1,1
13,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777324/iocppeufniacfkomz3jc.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777978/dmbkjs2w6orxlx6ofnkl.jpg,,0,14898,1,0
14,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777329/saeusgquhf0888eglyuy.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777981/e1lkfivptp6oa2uq8vml.jpg,,0,13459,1,0
15,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777331/wyj8a491q56ifukotsnn.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777983/dueeygvifxpjuzwcg6xm.jpg,41,1,14425,1,1
16,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777333/ug687eekotwoueqtchcx.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777988/itr9giolm11ogwm8ravu.jpg,,0,12986,1,0
17,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777335/jaa17fx4wcgkxkruvxzh.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777990/jqrpyphuslpeyjiiszmb.jpg,69,1,16398,1,1
18,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520784050/18_.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777992/x8pz0unpjjybc2rkpe87.jpg,58,1,14996,1,1
19,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777339/qyllvfjqq9lrlqykf3cv.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777995/uxqphq3itw3cj1cjump8.jpg,100,1,17265,1,1
1,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777341/wfytjskd64nsl3utorg7.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777342/lnme1ef2vfjnl1popmoy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777343/ne1obnnmyrfeypzsgems.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777344/ydt7iqfsa8qkry6szjaw.jpg""]",http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520786681/1_.jpg,92,1,2454,1,1
20,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777346/szcg66irz2gzmpnxholw.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777996/ejutjw93o2ole7a0mypw.jpg,100,1,16667,1,1
21,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777349/d58qzt6zikkwa7fzhizy.jpg""]",http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520796511/21_A.png,69,1,7988,1,1
22,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777350/rratmdjocozvsyiklnft.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777351/ssksviceoc156mrasjpv.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777353/k6de9si6yvbww6irclou.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778001/yatlzhjirh1zylzunqbl.jpg,73,1,1795,1,1
23,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777354/zzz9049nold13qlgbi6u.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777357/pjj5dgtslcyiboghgtf8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777358/zq7gifkrhpbzu6ap4z6x.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778002/aizp48spqcbmtwtbp5xa.jpg,100,1,2366,1,1
24,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777360/b9wok36gsuzwcnrjqu2v.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777362/jharimmwharuc7sqo0dj.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777363/pxlvb92csuei2dim0cz3.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778004/ntleladhvigt4tjotwjb.jpg,59,1,15676,1,1
25,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777365/w37oljv0swsmn0le3tud.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778006/kqq1z4kzdsc4eneibrbd.jpg,76,1,15556,1,1
26,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777367/jybcqdcmdnt8xjvlbaod.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777369/kukarrtw7a2lbgqiybr7.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777370/f1i1jokfqgip63mfwf6x.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777371/gk0qpczmeoawvegncohj.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778008/jshqrdkhzwojiirflrey.jpg,98,1,16519,1,1
27,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777379/mhdfieky6n0qspf47la9.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777380/pmoj7azelaqvzxxlhq1o.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777381/qjnknutb44nt1ewcsuhx.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778010/pzkrygs2mwr4lyeoq40t.jpg,81,1,15090,1,1
28,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777387/bnc3eq5zhuw5aiq0uc0f.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778012/tecn6fgzi8fhlkog2zud.jpg,67,1,16915,1,1
29,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777389/lcho29dpi1ojdzzxvj2x.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778016/ftbdsoq5vjwpzcxxwj4g.jpg,98,1,17117,1,1
2,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777391/ix75mek9ebtpvon7tdak.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777395/thayztlxwc8kotrighwy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777396/gc3jymd6ihumnbgrukta.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777397/wqezqxnczcyfuaelnvys.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778018/plfouihy3hsphvopnqh8.jpg,66,1,16390,1,1
30,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777399/y0onn7ecelaap5ofylzl.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778020/ijowa9bzvvr3b4lbqryb.jpg,86,1,15379,1,1
31,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777401/dvem2olg98davflun1ce.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778022/pxpo8n5t1hwbijvrbbo2.jpg,74,1,13919,1,1
32,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777403/khaz5nskl04sruabnxte.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778024/mqsx9al4xqcfjmc7cj95.jpg,75,1,12767,1,1
33,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777405/czyg5idrfmlos9y3ydxk.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778026/cxiozllwhcaajkkt0dhm.jpg,97,1,64312,1,1
34,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777406/faqzjsngk7ukmxpolbig.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777408/mggtlsbeysuf1vggurct.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777410/b5tgyl3wrmwpucaumhgg.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778028/aamsmn91mzoxciki86op.jpg,96,1,13744,1,1
35,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777415/xn3ttuureoutjcewlm3b.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777417/saxefo7qgmazfggssvpn.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778030/y6zdk7qa7w0gqc2suwlk.jpg,100,1,12586,1,1
36,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777419/qe5ol2vpcbodgrus0ily.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777421/etmdxtm7fjhj402ulq5g.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778033/t2dcddogvabcrsbeeodk.jpg,94,1,16278,1,1
37,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777422/ol9qrudmmnxwmjsx7kor.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778035/gkdnegtnezzkcd5sbeyn.jpg,48,0,30876,1,1
38,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777424/yl6rpbcey3ifb9asrtl6.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777426/xwnp0cwpe8r4iipfluax.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778037/zlnoz1cn8q93hhtkgles.jpg,100,1,16797,1,1
39,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777428/ushg5qvsbvbah23ssa2o.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777430/mfq1obrtr72c41f5f6ct.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778038/s2atwtsxjohodubggt2b.jpg,61,1,16370,1,1
3,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777432/y5yednph0jcn4hnonldd.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777434/iihftth2jfxhuyhcamza.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777435/okewok27sw6ttntdavqq.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778040/vwi05pnpijpzc9l0llv1.jpg,,0,15859,1,0
40,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777437/ysnftslmcwgipokvs8jy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777439/xunimedo6hq4ljquz1ye.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778044/zuti0zzvh3nr8wabx0d2.jpg,100,1,15000,1,1
41,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777443/c8cwchfthtzlvnqxgaor.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778046/jn3cjcgkrbpsggcuxi65.jpg,74,1,15120,1,1
8,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777459/pwagdre28qftcwuxlgy8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777461/bj2nd0uwshyzbwelp6wd.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777467/jibeqa3ofaldb2ya3fjo.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778048/vivix7jhtksi2mwtp8z4.jpg,,0,13597,1,0
9,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777472/apgzhjlwurqix8rjcyp9.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777473/zcaiuxkpb7l9kodcct4j.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777474/ugbuqpqdumetpw7gvfnn.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778051/fepqbvaoatnhfjed7a3k.jpg,69,1,11492,1,1
