id,url1,url2,confidence,recognized,responseTime,detectedUrl1,detectedUrl2
10,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777310/ziubwaojdpg9alzpjqqd.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777312/rwoa4sy7qkktigoxuhu8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777314/edbiybfrnkudnicufquq.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777565/n7ck3v7srhqnoivxurvk.jpg,,0,0,1,0
11,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777315/lgqq9u27hvijlls0rvav.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777317/jshj7jav7xz6rnlonqep.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777319/r5cwrcx0tbik0k1qsjn5.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777320/xuczcu12fythm8h2kdig.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777321/zvecuzua7ylvom0aksul.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777567/u26z2uqnqcu4ojafytmb.jpg,,0,0,1,0
12,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777323/of0buxtk6fek8ripdsft.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777569/qxlj1ma9yqlcqmwkv8xy.jpg,60,1,13626,1,1
13,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777324/iocppeufniacfkomz3jc.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777573/uj9p4z8sqi2ramhrmnaz.jpg,,0,0,1,0
14,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777329/saeusgquhf0888eglyuy.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777575/lfjn2iskbnqfxaamshie.jpg,61,1,16436,1,1
15,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777331/wyj8a491q56ifukotsnn.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777577/p3fh6il7fsdojwsyiucx.jpg,52,1,16649,1,1
16,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777333/ug687eekotwoueqtchcx.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777579/lforanohbyldpwwvm11l.jpg,,0,0,1,0
17,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777335/jaa17fx4wcgkxkruvxzh.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777582/nbevbexzc4ezisjxws3m.jpg,76,1,13216,1,1
18,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520784050/18_.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777586/uygwszcj5u4wzb98mrx3.jpg,,0,0,1,0
19,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777339/qyllvfjqq9lrlqykf3cv.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777588/qgq9ldqjqhlws465kcng.jpg,,0,0,1,0
1,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777341/wfytjskd64nsl3utorg7.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777342/lnme1ef2vfjnl1popmoy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777343/ne1obnnmyrfeypzsgems.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777344/ydt7iqfsa8qkry6szjaw.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777590/bx4fb5xnlsdlxqzfeqaw.jpg,39,1,2589,1,1
22,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777350/rratmdjocozvsyiklnft.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777351/ssksviceoc156mrasjpv.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777353/k6de9si6yvbww6irclou.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777591/by0wbo2pit7z5wksd3tw.jpg,,0,0,1,0
23,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777354/zzz9049nold13qlgbi6u.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777357/pjj5dgtslcyiboghgtf8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777358/zq7gifkrhpbzu6ap4z6x.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777592/ycbugqcypsunc4v6xzuk.jpg,81,1,2242,1,1
24,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777360/b9wok36gsuzwcnrjqu2v.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777362/jharimmwharuc7sqo0dj.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777363/pxlvb92csuei2dim0cz3.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777597/dlz7fkjlhurv7r3mnxxa.jpg,,0,0,1,0
25,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777365/w37oljv0swsmn0le3tud.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777600/jjhklwegzbdregmyfhdf.jpg,,0,0,1,0
26,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777367/jybcqdcmdnt8xjvlbaod.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777369/kukarrtw7a2lbgqiybr7.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777370/f1i1jokfqgip63mfwf6x.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777371/gk0qpczmeoawvegncohj.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777602/bkqodypj5pcw8hm4apjd.jpg,,0,0,1,0
