id,url1,url2,confidence,recognized,responseTime,detectedUrl1,detectedUrl2
10,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777310/ziubwaojdpg9alzpjqqd.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777312/rwoa4sy7qkktigoxuhu8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777314/edbiybfrnkudnicufquq.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777733/bzjbv63dkzu2uy2yckkz.jpg,99,1,12034,1,1
11,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777315/lgqq9u27hvijlls0rvav.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777317/jshj7jav7xz6rnlonqep.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777319/r5cwrcx0tbik0k1qsjn5.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777320/xuczcu12fythm8h2kdig.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777321/zvecuzua7ylvom0aksul.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777734/nxm3xz9amnkrobp7f5cm.jpg,,0,0,1,0
12,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777323/of0buxtk6fek8ripdsft.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777736/rbxg7e3iwmvl29khtxxh.jpg,79,1,16751,1,1
13,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777324/iocppeufniacfkomz3jc.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777739/gccqrkd5lyipu7c3xgnb.jpg,55,1,16087,1,1
14,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777329/saeusgquhf0888eglyuy.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777741/mr11jjwyaveiqkxyj67a.jpg,70,1,17229,1,1
15,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777331/wyj8a491q56ifukotsnn.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777744/fnfxn83vfnfzid1fv1zv.jpg,57,1,14348,1,1
16,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777333/ug687eekotwoueqtchcx.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777746/aaxiy4nhecc4wp8srrlb.jpg,68,1,15300,1,1
17,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777335/jaa17fx4wcgkxkruvxzh.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777748/qlqkfcddcrfcahwbxi5a.jpg,68,1,15188,1,1
18,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520784050/18_.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777750/jfew8bkzn3wxp4hz3iwm.jpg,65,1,16061,1,1
19,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777339/qyllvfjqq9lrlqykf3cv.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777752/jbpfyxosrekqecnusffq.jpg,74,1,15649,1,1
1,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777341/wfytjskd64nsl3utorg7.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777342/lnme1ef2vfjnl1popmoy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777343/ne1obnnmyrfeypzsgems.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777344/ydt7iqfsa8qkry6szjaw.jpg""]",http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520786720/1_D.jpg,56,1,1764,1,1
20,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777346/szcg66irz2gzmpnxholw.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777754/wd6dcgv4jjlk9hzdmnky.jpg,90,1,17019,1,1
21,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777349/d58qzt6zikkwa7fzhizy.jpg""]",http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520796676/21_D.jpg,47,1,4950,1,1
22,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777350/rratmdjocozvsyiklnft.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777351/ssksviceoc156mrasjpv.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777353/k6de9si6yvbww6irclou.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777760/jkjnsbjwokbjbeallaas.jpg,68,1,2101,1,1
23,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777354/zzz9049nold13qlgbi6u.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777357/pjj5dgtslcyiboghgtf8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777358/zq7gifkrhpbzu6ap4z6x.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777761/fgvetexpnwszzpw66es7.jpg,70,1,2184,1,1
24,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777360/b9wok36gsuzwcnrjqu2v.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777362/jharimmwharuc7sqo0dj.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777363/pxlvb92csuei2dim0cz3.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777762/zrhcegw0jedarvkj8eka.jpg,63,1,16375,1,1
25,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777365/w37oljv0swsmn0le3tud.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777764/qf9sl3endbrbcqeweego.jpg,73,1,16002,1,1
26,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777367/jybcqdcmdnt8xjvlbaod.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777369/kukarrtw7a2lbgqiybr7.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777370/f1i1jokfqgip63mfwf6x.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777371/gk0qpczmeoawvegncohj.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777766/yvtgkxwttmhcpyzgzcp6.jpg,99,0,30954,1,1
27,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777379/mhdfieky6n0qspf47la9.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777380/pmoj7azelaqvzxxlhq1o.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777381/qjnknutb44nt1ewcsuhx.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777768/yu6je8zskps5g2okretm.jpg,81,1,16545,1,1
28,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777387/bnc3eq5zhuw5aiq0uc0f.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777770/bldgpea9pujoyvfbfc26.jpg,71,1,30632,1,1
29,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777389/lcho29dpi1ojdzzxvj2x.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777773/v64g1ccbdsuroo8bqfxr.jpg,100,1,16300,1,1
2,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777391/ix75mek9ebtpvon7tdak.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777395/thayztlxwc8kotrighwy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777396/gc3jymd6ihumnbgrukta.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777397/wqezqxnczcyfuaelnvys.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777775/yfa8m8kc0c1jdhjhyz7d.jpg,79,1,16298,1,1
30,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777399/y0onn7ecelaap5ofylzl.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777777/gyejjbieoeq4l5iompwx.jpg,74,1,13414,1,1
