id,url1,url2,confidence,recognized,responseTime,detectedUrl1,detectedUrl2
10,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777310/ziubwaojdpg9alzpjqqd.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777312/rwoa4sy7qkktigoxuhu8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777314/edbiybfrnkudnicufquq.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777828/wjghdb8z2ke6zqrzbkrt.jpg,91,1,11051,1,1
11,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777315/lgqq9u27hvijlls0rvav.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777317/jshj7jav7xz6rnlonqep.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777319/r5cwrcx0tbik0k1qsjn5.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777320/xuczcu12fythm8h2kdig.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777321/zvecuzua7ylvom0aksul.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777830/xuhs7nc3cdfz4gszydhi.jpg,41,0,14321,1,1
12,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777323/of0buxtk6fek8ripdsft.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777832/vbl8jpdeu9oh2lxcveqr.jpg,58,1,14940,1,1
13,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777324/iocppeufniacfkomz3jc.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777835/jblge189jxb58azpc2rf.jpg,,0,0,1,0
14,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777329/saeusgquhf0888eglyuy.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777838/piibyluiq68ywkbdigte.jpg,69,1,16995,1,1
15,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777331/wyj8a491q56ifukotsnn.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777840/sojki2tjcz4irj2h6rkf.jpg,65,1,16599,1,1
16,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777333/ug687eekotwoueqtchcx.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777844/twgvghlwkrek3izxltpk.jpg,75,1,16424,1,1
17,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777335/jaa17fx4wcgkxkruvxzh.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777846/uto7jgvl9j7qts1ytvtr.jpg,73,1,16652,1,1
18,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520784050/18_.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777848/otrzokqfigipqlxkmfd9.jpg,76,1,16615,1,1
19,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777339/qyllvfjqq9lrlqykf3cv.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777850/gl5axanc5ergbjfwwlba.jpg,89,1,17696,1,1
1,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777341/wfytjskd64nsl3utorg7.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777342/lnme1ef2vfjnl1popmoy.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777343/ne1obnnmyrfeypzsgems.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777344/ydt7iqfsa8qkry6szjaw.jpg""]",http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520786743/1_S.jpg,,0,0,1,0
20,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777346/szcg66irz2gzmpnxholw.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777853/c8gfxutsiqgozjdeobtf.jpg,72,1,16656,1,1
21,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777349/d58qzt6zikkwa7fzhizy.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777856/sgmhbjvkhedtyy5xmhwq.jpg,,0,0,1,0
22,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777350/rratmdjocozvsyiklnft.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777351/ssksviceoc156mrasjpv.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777353/k6de9si6yvbww6irclou.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777857/r5eq6ddkknsjqwuhzwbd.jpg,,0,0,1,0
23,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777354/zzz9049nold13qlgbi6u.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777357/pjj5dgtslcyiboghgtf8.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777358/zq7gifkrhpbzu6ap4z6x.jpg""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777858/e7lm2ogkjguzr9zeodrf.jpg,67,1,2116,1,1
24,"[""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777360/b9wok36gsuzwcnrjqu2v.jpg"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777362/jharimmwharuc7sqo0dj.png"",""https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777363/pxlvb92csuei2dim0cz3.png""]",https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777860/afsyghvb1tqn9q13tb6g.jpg,61,1,15928,1,1
