id,confidence,recognized,detectedImage1,detectedImage2,responsetime
31,0.39111057266780447,1,1,1,705
23,0.32776352741084436,1,1,1,845
22,0.3493033688488425,1,1,1,813
35,0.35792942673475386,1,1,1,595
2,0.41296753108968637,1,1,1,3386
9,0.4056324206812776,1,1,1,982
24,0.3272848043794845,1,1,1,429
3,0.40205923800481363,1,1,1,452
7,0.5046117374294624,1,1,1,451
38,0.3214132816060038,1,1,1,424
21,0.409681623515055,1,1,1,364
29,0.5441381335624347,1,1,1,394
26,0.3852029176800192,1,1,1,532
32,0.5287217417129193,1,1,1,555
17,0.5397097772350093,1,1,1,8904
25,0.4970313172324093,1,1,1,607
37,0.41423320816147263,1,1,1,1164
13,0.47553347252156214,1,1,1,959
39,0.4291753017573139,1,1,1,809
30,0.426906714937946,1,1,1,404
16,0.43666487553106836,1,1,1,996
15,0.4637914591972415,1,1,1,1140
36,0.5002803462835094,1,1,1,449
33,0.4156839467904929,1,1,1,659
1,0.37399940682891086,1,1,1,755
6,0.5512360147264945,1,1,1,453
12,0.5208762254507532,1,1,1,9058
4,0.43759214464263446,1,1,1,488
27,0.37541888866617373,1,1,1,592
14,0.47665095004403274,1,1,1,1322
34,0.36979388105748784,1,1,1,1118
28,0.4115330180693046,1,1,1,428
11,0.4329767997103526,1,1,1,8635
8,0.47169511038568074,1,1,1,8383
10,0.33790763299143683,1,1,1,1215
40,0.38686858923574274,1,1,1,481
