id,confidence,recgonized,detectedImage1,detectedImage2,responsetime,filteredDistances,filtered,falserecognized
31,0.5354637172,1,1,1,12224,0.5354637172,1,0
23,0.2850675699,1,1,1,634,0.2850675699,1,0
14,0.6060364264,1,1,1,12665,0.6060364264,1,0
35,0.3354415319,1,1,1,11641,0.3354415319,1,0
2,0,1,1,1,902,0,1,0
22,0.6029260959,1,1,1,604,0.6029260959,1,0
17,0.5471672837,1,1,1,12129,0.5471672837,1,0
28,0.53403787,1,1,1,10890,0.53403787,1,0
29,0.5638633533,1,1,1,11781,0.5638633533,1,0
11,0.491051899,1,1,1,949,0.491051899,1,0
38,0.323562216,1,1,1,13002,0.323562216,1,0
15,0.8594236961,0,1,1,10826,,0,0
21,0.7281639673,1,1,1,2311,0.7281639673,1,0
26,0.5968851014,1,1,1,11966,0.5968851014,1,0
3,0.6022903003,1,1,1,12983,0.6022903003,1,0
32,0.7720279956,1,1,1,12296,0.7720279956,1,0
24,0.6046809582,1,1,1,14862,0.6046809582,1,0
16,0.4618218723,1,1,1,11148,0.4618218723,1,0
25,0.7908955872,0,1,1,671,,0,0
37,0.255868415,1,1,1,11422,0.255868415,1,0
18,0.6024165396,1,1,1,12987,0.6024165396,1,0
19,0.5480968428,1,1,1,10940,0.5480968428,1,0
12,0.7953988688,0,1,1,11385,,0,0
39,0.6307161841,1,1,1,12831,0.6307161841,1,0
13,0.7046275709,1,1,1,12762,0.7046275709,1,0
36,0.5129448292,1,1,1,10250,0.5129448292,1,0
1,0,1,1,1,495,0,1,0
4,0.5510482264,1,1,1,11322,0.5510482264,1,0
30,0.6537288388,1,1,1,13170,0.6537288388,1,0
27,0.5578887038,1,1,1,12905,0.5578887038,1,0
20,0,0,1,0,0,,0,0
8,0.0739959644,1,1,1,12038,0.0739959644,1,0
34,0.5114541472,1,1,1,12595,0.5114541472,1,0
41,0.4328732061,1,1,1,11279,0.4328732061,1,0
33,0.079459369,1,1,1,11364,0.079459369,1,0
40,0.3724451568,1,1,1,12833,0.3724451568,1,0
