id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,-1,0,1,0,0
2,-1,0,1,0,0
3,-1,0,1,0,0
8,-1,0,1,0,0
11,-1,0,1,0,0
12,3550.22394721887,0,1,1,1653
13,6584.922047655266,0,1,1,1773
14,5170.791145486082,0,1,1,823
15,8234.149856930193,0,1,1,1036
16,-1,0,1,0,0
17,7407.034129042102,0,1,1,1320
18,-1,0,1,0,0
19,7669.769756926845,0,1,1,807
22,-1,0,1,0,0
23,5740.033069980795,1,1,1,98
24,-1,0,1,0,0
26,-1,0,1,0,0
27,7212.456947831283,0,1,1,1124
28,5767.341818643517,0,1,1,980
29,6146.006018202795,0,1,1,1020
30,4808.026937656909,0,1,1,1324
31,6515.52334919939,0,1,1,1355
32,-1,0,1,0,0
33,7187.636789979663,0,1,1,3408
34,5636.985300683541,0,1,1,4467
35,3983.397636405069,0,1,1,2327
36,6115.792732774931,0,1,1,2485
37,4968.408687374774,0,1,1,2441
38,6036.532258530707,0,1,1,1423
39,-1,0,1,0,0
40,6527.9759305510715,0,1,1,1316
41,6677.050150491947,0,1,1,1096
