id,confidence,reconized,detectedImage1,detectedImage2,responsetime
1,27.160533543323012,0,1,1,144
2,-1,0,1,0,0
3,-1,0,1,0,0
4,9.088939405423579,1,1,1,1305
5,8.410048834026837,0,1,1,1506
6,-1,0,1,0,0
7,-1,0,1,0,0
8,-1,0,1,0,0
11,-1,0,1,0,0
12,-1,0,1,0,0
13,-1,0,1,0,0
14,12.225513305284009,1,1,1,2043
15,6.17716664731868,1,1,1,1619
16,-1,0,1,0,0
17,22.691024029023573,0,1,1,1249
18,-1,0,1,0,0
19,-1,0,1,0,0
22,-1,0,1,0,0
23,14.155940338205067,1,1,1,105
24,76.83572118783668,0,1,1,767
26,-1,0,1,0,0
27,15.154003008194755,1,1,1,1610
28,10.50327335376487,0,1,1,1167
29,3.1099746407787787,1,1,1,1326
30,11.2005999406189,0,1,1,1624
31,-1,0,1,0,0
32,137.18424822820396,0,1,1,1106
33,147.1531697131705,0,1,1,1719
34,14.665061056577878,0,1,1,1652
35,23.208164086476632,0,1,1,1597
36,-1,0,1,0,0
37,9.566414201346648,1,1,1,1918
38,11.07768498015079,1,1,1,1260
39,-1,0,1,0,0
40,10.727129065489072,0,1,1,1096
41,8.443960696327947,1,1,1,1127
